,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,us,smoothed_wbelief_masking_effective,2021-06-04,2021-06-09,5,78.0630077,0.2337256,31348.0,nation,fb-survey
1,us,smoothed_wbelief_masking_effective,2021-06-05,2021-06-10,5,77.9508434,0.2052065,40816.0,nation,fb-survey
2,us,smoothed_wbelief_masking_effective,2021-06-06,2021-06-11,5,77.7993082,0.1846618,50651.0,nation,fb-survey
3,us,smoothed_wbelief_masking_effective,2021-06-07,2021-06-12,5,77.5940882,0.1694446,60553.0,nation,fb-survey
4,us,smoothed_wbelief_masking_effective,2021-06-08,2021-06-13,5,77.5787061,0.1572994,70299.0,nation,fb-survey
5,us,smoothed_wbelief_masking_effective,2021-06-09,2021-06-14,5,77.2974154,0.1589506,69457.0,nation,fb-survey
6,us,smoothed_wbelief_masking_effective,2021-06-10,2021-06-15,5,77.1391137,0.1606197,68355.0,nation,fb-survey
7,us,smoothed_wbelief_masking_effective,2021-06-11,2021-06-16,5,77.0820109,0.1620145,67301.0,nation,fb-survey
8,us,smoothed_wbelief_masking_effective,2021-06-12,2021-06-17,5,76.9208397,0.1629552,66854.0,nation,fb-survey
9,us,smoothed_wbelief_masking_effective,2021-06-13,2021-06-18,5,77.0267128,0.1630665,66548.0,nation,fb-survey
10,us,smoothed_wbelief_masking_effective,2021-06-14,2021-06-19,5,77.209821,0.1631806,66082.0,nation,fb-survey
11,us,smoothed_wbelief_masking_effective,2021-06-15,2021-06-20,5,77.1663868,0.1638901,65599.0,nation,fb-survey
12,us,smoothed_wbelief_masking_effective,2021-06-16,2021-06-21,5,77.1288611,0.1646944,65035.0,nation,fb-survey
13,us,smoothed_wbelief_masking_effective,2021-06-17,2021-06-22,5,77.0150017,0.1664198,63916.0,nation,fb-survey
14,us,smoothed_wbelief_masking_effective,2021-06-18,2021-06-23,5,77.0330281,0.1686792,62181.0,nation,fb-survey
15,us,smoothed_wbelief_masking_effective,2021-06-19,2021-06-25,6,77.1659218,0.1705411,60583.0,nation,fb-survey
16,us,smoothed_wbelief_masking_effective,2021-06-20,2021-06-25,5,76.9558907,0.1746104,58165.0,nation,fb-survey
17,us,smoothed_wbelief_masking_effective,2021-06-21,2021-06-26,5,76.8956732,0.1781815,55959.0,nation,fb-survey
18,us,smoothed_wbelief_masking_effective,2021-06-22,2021-06-27,5,77.0469346,0.1805636,54242.0,nation,fb-survey
19,us,smoothed_wbelief_masking_effective,2021-06-23,2021-06-28,5,77.1580783,0.1828444,52717.0,nation,fb-survey
20,us,smoothed_wbelief_masking_effective,2021-06-24,2021-06-29,5,77.1659703,0.1847438,51626.0,nation,fb-survey
21,us,smoothed_wbelief_masking_effective,2021-06-25,2021-06-30,5,77.1656878,0.1842847,51884.0,nation,fb-survey
22,us,smoothed_wbelief_masking_effective,2021-06-26,2021-07-01,5,77.268271,0.1811941,53499.0,nation,fb-survey
