,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,us,smoothed_wcovid_vaccinated,2021-01-06,2021-01-29,23,4.7552563,0.1334575,25429.0,nation,fb-survey
1,us,smoothed_wcovid_vaccinated,2021-01-07,2021-01-29,22,5.1133398,0.0856886,66079.0,nation,fb-survey
2,us,smoothed_wcovid_vaccinated,2021-01-08,2021-01-29,21,5.4945846,0.0690158,109017.0,nation,fb-survey
3,us,smoothed_wcovid_vaccinated,2021-01-09,2021-01-29,20,5.8287204,0.059932,152818.0,nation,fb-survey
4,us,smoothed_wcovid_vaccinated,2021-01-10,2021-01-29,19,6.1356398,0.0537125,199623.0,nation,fb-survey
5,us,smoothed_wcovid_vaccinated,2021-01-11,2021-01-29,18,6.2452972,0.0490205,243664.0,nation,fb-survey
6,us,smoothed_wcovid_vaccinated,2021-01-12,2021-01-29,17,6.3669334,0.0455676,287109.0,nation,fb-survey
7,us,smoothed_wcovid_vaccinated,2021-01-13,2021-01-18,5,6.7116901,0.045269,305533.0,nation,fb-survey
8,us,smoothed_wcovid_vaccinated,2021-01-14,2021-01-29,15,7.1465499,0.046438,307714.0,nation,fb-survey
9,us,smoothed_wcovid_vaccinated,2021-01-15,2021-01-29,14,7.5636952,0.0477596,306518.0,nation,fb-survey
10,us,smoothed_wcovid_vaccinated,2021-01-16,2021-01-29,13,8.0371193,0.0491766,305630.0,nation,fb-survey
11,us,smoothed_wcovid_vaccinated,2021-01-17,2021-01-29,12,8.458675,0.0504732,303947.0,nation,fb-survey
12,us,smoothed_wcovid_vaccinated,2021-01-18,2021-01-29,11,8.9017214,0.0515548,305103.0,nation,fb-survey
13,us,smoothed_wcovid_vaccinated,2021-01-19,2021-01-29,10,9.3632691,0.0527065,305495.0,nation,fb-survey
14,us,smoothed_wcovid_vaccinated,2021-01-20,2021-01-29,9,9.824388,0.054267,300831.0,nation,fb-survey
15,us,smoothed_wcovid_vaccinated,2021-01-21,2021-01-26,5,10.3230695,0.0556633,298780.0,nation,fb-survey
