,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-05-20,2021-05-25,5,84.4271705,0.250886,20888.0,nation,fb-survey
1,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-05-21,2021-05-26,5,84.5207439,0.1774374,41555.0,nation,fb-survey
2,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-05-22,2021-05-27,5,84.5273497,0.1450421,62169.0,nation,fb-survey
3,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-05-23,2021-05-28,5,84.7494396,0.1239529,84122.0,nation,fb-survey
4,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-05-24,2021-05-29,5,84.7685765,0.1105224,105700.0,nation,fb-survey
5,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-05-25,2021-05-30,5,84.623219,0.101129,127234.0,nation,fb-survey
6,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-05-26,2021-05-31,5,84.6701336,0.0934271,148704.0,nation,fb-survey
7,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-05-27,2021-06-01,5,84.5829822,0.0938789,147961.0,nation,fb-survey
8,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-05-28,2021-06-02,5,84.5483523,0.0941785,147291.0,nation,fb-survey
9,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-05-29,2021-06-03,5,84.544556,0.09406,147692.0,nation,fb-survey
10,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-05-30,2021-06-04,5,84.3923312,0.0944795,147559.0,nation,fb-survey
11,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-05-31,2021-06-05,5,84.4555951,0.0940638,148374.0,nation,fb-survey
12,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-01,2021-06-06,5,84.4883463,0.0934689,150010.0,nation,fb-survey
13,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-02,2021-06-07,5,84.4331674,0.0932696,151089.0,nation,fb-survey
14,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-03,2021-06-08,5,84.4854954,0.0925031,153182.0,nation,fb-survey
15,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-04,2021-06-09,5,84.4425198,0.0922559,154352.0,nation,fb-survey
16,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-05,2021-06-10,5,84.3860571,0.0927021,153322.0,nation,fb-survey
17,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-06,2021-06-11,5,84.3716435,0.0930604,152258.0,nation,fb-survey
18,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-07,2021-06-12,5,84.182331,0.0940187,150638.0,nation,fb-survey
19,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-08,2021-06-13,5,84.1817695,0.0947532,148316.0,nation,fb-survey
20,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-09,2021-06-14,5,84.0940456,0.0956067,146335.0,nation,fb-survey
21,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-10,2021-06-15,5,84.0657982,0.0964313,144050.0,nation,fb-survey
22,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-11,2021-06-16,5,84.0277933,0.0972166,142006.0,nation,fb-survey
23,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-12,2021-06-17,5,84.0774362,0.0974672,140921.0,nation,fb-survey
24,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-13,2021-06-18,5,84.0875106,0.0976016,140461.0,nation,fb-survey
25,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-14,2021-06-19,5,84.1540685,0.0976802,139759.0,nation,fb-survey
26,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-15,2021-06-20,5,84.2043568,0.097921,138714.0,nation,fb-survey
27,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-16,2021-06-21,5,84.1609499,0.0984004,137672.0,nation,fb-survey
28,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-17,2021-06-22,5,84.1390144,0.0993642,135166.0,nation,fb-survey
29,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-18,2021-06-23,5,84.2024666,0.1006487,131310.0,nation,fb-survey
30,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-19,2021-06-25,6,84.1545424,0.1021239,127858.0,nation,fb-survey
31,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-20,2021-06-25,5,84.1413669,0.1043898,122450.0,nation,fb-survey
32,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-21,2021-06-26,5,84.0685111,0.106674,117699.0,nation,fb-survey
33,us,smoothed_wcovid_vaccinated_appointment_or_accept,2021-06-22,2021-06-27,5,84.147703,0.1080016,114360.0,nation,fb-survey
