,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,us,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,92.079933,0.156721,29692.0,nation,fb-survey
1,us,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,92.0933281,0.1116723,58389.0,nation,fb-survey
2,us,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,92.0352505,0.0918429,86903.0,nation,fb-survey
3,us,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,91.9759634,0.0779069,121595.0,nation,fb-survey
4,us,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,91.962879,0.0690033,155229.0,nation,fb-survey
5,us,smoothed_wwearing_mask_7d,2021-02-14,2021-03-17,31,91.9906717,0.0627437,187154.0,nation,fb-survey
6,us,smoothed_wwearing_mask_7d,2021-02-15,2021-03-17,30,91.9949189,0.0576894,221278.0,nation,fb-survey
7,us,smoothed_wwearing_mask_7d,2021-02-16,2021-03-17,29,91.980357,0.0573751,224080.0,nation,fb-survey
8,us,smoothed_wwearing_mask_7d,2021-02-17,2021-03-17,28,91.9649366,0.056915,228117.0,nation,fb-survey
9,us,smoothed_wwearing_mask_7d,2021-02-18,2021-03-17,27,91.9731512,0.0563332,232636.0,nation,fb-survey
10,us,smoothed_wwearing_mask_7d,2021-02-19,2021-03-17,26,91.9421181,0.0568139,229523.0,nation,fb-survey
11,us,smoothed_wwearing_mask_7d,2021-02-20,2021-03-17,25,91.8716991,0.0574528,226235.0,nation,fb-survey
12,us,smoothed_wwearing_mask_7d,2021-02-21,2021-03-17,24,91.7546036,0.0576053,227989.0,nation,fb-survey
13,us,smoothed_wwearing_mask_7d,2021-02-22,2021-03-17,23,91.6494346,0.0580171,227370.0,nation,fb-survey
14,us,smoothed_wwearing_mask_7d,2021-02-23,2021-03-17,22,91.4885984,0.058504,227508.0,nation,fb-survey
15,us,smoothed_wwearing_mask_7d,2021-02-24,2021-03-17,21,91.3572198,0.0589009,227590.0,nation,fb-survey
16,us,smoothed_wwearing_mask_7d,2021-02-25,2021-03-17,20,91.224121,0.0594421,226575.0,nation,fb-survey
17,us,smoothed_wwearing_mask_7d,2021-02-26,2021-03-17,19,91.1190129,0.0598677,225780.0,nation,fb-survey
18,us,smoothed_wwearing_mask_7d,2021-02-27,2021-03-17,18,91.0486785,0.059828,227694.0,nation,fb-survey
19,us,smoothed_wwearing_mask_7d,2021-02-28,2021-03-17,17,90.9527026,0.0600627,228100.0,nation,fb-survey
20,us,smoothed_wwearing_mask_7d,2021-03-01,2021-03-17,16,90.8763415,0.060333,227777.0,nation,fb-survey
21,us,smoothed_wwearing_mask_7d,2021-03-02,2021-03-17,15,90.8564997,0.060311,228389.0,nation,fb-survey
22,us,smoothed_wwearing_mask_7d,2021-03-03,2021-03-17,14,90.754086,0.0604567,229576.0,nation,fb-survey
23,us,smoothed_wwearing_mask_7d,2021-03-04,2021-03-17,13,90.6400877,0.0605784,231183.0,nation,fb-survey
24,us,smoothed_wwearing_mask_7d,2021-03-05,2021-03-17,12,90.5526983,0.0605994,232955.0,nation,fb-survey
25,us,smoothed_wwearing_mask_7d,2021-03-06,2021-03-17,11,90.4455925,0.0608366,233486.0,nation,fb-survey
26,us,smoothed_wwearing_mask_7d,2021-03-07,2021-03-17,10,90.3209199,0.0611509,233785.0,nation,fb-survey
27,us,smoothed_wwearing_mask_7d,2021-03-08,2021-03-17,9,90.2105904,0.0614738,233687.0,nation,fb-survey
28,us,smoothed_wwearing_mask_7d,2021-03-09,2021-03-17,8,90.1280513,0.0618158,232843.0,nation,fb-survey
29,us,smoothed_wwearing_mask_7d,2021-03-10,2021-03-17,7,90.0305606,0.062268,231489.0,nation,fb-survey
30,us,smoothed_wwearing_mask_7d,2021-03-11,2021-03-17,6,89.9319198,0.0629061,228810.0,nation,fb-survey
31,us,smoothed_wwearing_mask_7d,2021-03-12,2021-03-17,5,89.837125,0.063478,226582.0,nation,fb-survey
32,us,smoothed_wwearing_mask_7d,2021-03-13,2021-03-18,5,89.7621138,0.064285,222374.0,nation,fb-survey
33,us,smoothed_wwearing_mask_7d,2021-03-14,2021-03-19,5,89.751082,0.0647627,219315.0,nation,fb-survey
34,us,smoothed_wwearing_mask_7d,2021-03-15,2021-03-20,5,89.751795,0.064935,218139.0,nation,fb-survey
35,us,smoothed_wwearing_mask_7d,2021-03-16,2021-03-21,5,89.6784983,0.0650386,218821.0,nation,fb-survey
36,us,smoothed_wwearing_mask_7d,2021-03-17,2021-03-22,5,89.6911504,0.0650696,218375.0,nation,fb-survey
37,us,smoothed_wwearing_mask_7d,2021-03-18,2021-03-23,5,89.7442297,0.0645908,220614.0,nation,fb-survey
38,us,smoothed_wwearing_mask_7d,2021-03-19,2021-03-24,5,89.7331686,0.0645042,221418.0,nation,fb-survey
39,us,smoothed_wwearing_mask_7d,2021-03-20,2021-03-25,5,89.7882476,0.0639922,223906.0,nation,fb-survey
40,us,smoothed_wwearing_mask_7d,2021-03-21,2021-03-26,5,89.7636719,0.0638398,225456.0,nation,fb-survey
41,us,smoothed_wwearing_mask_7d,2021-03-22,2021-03-27,5,89.6690384,0.0640718,225657.0,nation,fb-survey
42,us,smoothed_wwearing_mask_7d,2021-03-23,2021-03-28,5,89.6469614,0.0643845,223893.0,nation,fb-survey
43,us,smoothed_wwearing_mask_7d,2021-03-24,2021-03-29,5,89.56628,0.064559,224218.0,nation,fb-survey
44,us,smoothed_wwearing_mask_7d,2021-03-25,2021-03-30,5,89.466827,0.0651371,222108.0,nation,fb-survey
45,us,smoothed_wwearing_mask_7d,2021-03-26,2021-03-31,5,89.3756743,0.0657428,219697.0,nation,fb-survey
46,us,smoothed_wwearing_mask_7d,2021-03-27,2021-04-01,5,89.2766994,0.066349,217469.0,nation,fb-survey
47,us,smoothed_wwearing_mask_7d,2021-03-28,2021-04-02,5,89.1752638,0.0668749,215842.0,nation,fb-survey
48,us,smoothed_wwearing_mask_7d,2021-03-29,2021-04-03,5,89.1425591,0.0671587,214589.0,nation,fb-survey
49,us,smoothed_wwearing_mask_7d,2021-03-30,2021-04-04,5,89.0745901,0.0673822,214339.0,nation,fb-survey
50,us,smoothed_wwearing_mask_7d,2021-03-31,2021-04-05,5,89.0565537,0.0675809,213389.0,nation,fb-survey
51,us,smoothed_wwearing_mask_7d,2021-04-01,2021-04-06,5,89.0323548,0.0678147,212331.0,nation,fb-survey
52,us,smoothed_wwearing_mask_7d,2021-04-02,2021-04-07,5,89.0744618,0.0676361,212735.0,nation,fb-survey
