,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,us,confirmed_7dav_incidence_num,2020-03-01,2020-09-23,206,2.2857143,,,nation,jhu-csse
1,us,confirmed_7dav_incidence_num,2020-03-02,2020-10-02,214,5.5714286,,,nation,jhu-csse
2,us,confirmed_7dav_incidence_num,2020-03-03,2020-09-23,204,8.2857143,,,nation,jhu-csse
3,us,confirmed_7dav_incidence_num,2020-03-04,2020-09-23,203,13.0,,,nation,jhu-csse
4,us,confirmed_7dav_incidence_num,2020-03-05,2020-09-23,202,23.8571429,,,nation,jhu-csse
5,us,confirmed_7dav_incidence_num,2020-03-06,2020-09-23,201,31.4285714,,,nation,jhu-csse
6,us,confirmed_7dav_incidence_num,2020-03-07,2020-09-23,200,54.0,,,nation,jhu-csse
7,us,confirmed_7dav_incidence_num,2020-03-08,2020-09-23,199,69.5714286,,,nation,jhu-csse
8,us,confirmed_7dav_incidence_num,2020-03-09,2020-10-02,207,77.0,,,nation,jhu-csse
9,us,confirmed_7dav_incidence_num,2020-03-10,2020-09-23,197,101.1428571,,,nation,jhu-csse
10,us,confirmed_7dav_incidence_num,2020-03-11,2021-02-13,339,149.0,,,nation,jhu-csse
11,us,confirmed_7dav_incidence_num,2020-03-12,2021-02-13,338,200.8571429,,,nation,jhu-csse
12,us,confirmed_7dav_incidence_num,2020-03-13,2021-02-13,337,283.7142857,,,nation,jhu-csse
13,us,confirmed_7dav_incidence_num,2020-03-14,2021-02-13,336,369.2857143,,,nation,jhu-csse
14,us,confirmed_7dav_incidence_num,2020-03-15,2021-02-13,335,387.5714286,,,nation,jhu-csse
15,us,confirmed_7dav_incidence_num,2020-03-16,2021-02-13,334,582.2857143,,,nation,jhu-csse
16,us,confirmed_7dav_incidence_num,2020-03-17,2021-02-13,333,811.7142857,,,nation,jhu-csse
17,us,confirmed_7dav_incidence_num,2020-03-18,2021-02-13,332,1139.2857143,,,nation,jhu-csse
18,us,confirmed_7dav_incidence_num,2020-03-19,2021-02-13,331,1718.4285714,,,nation,jhu-csse
19,us,confirmed_7dav_incidence_num,2020-03-20,2021-02-13,330,2538.1428571,,,nation,jhu-csse
20,us,confirmed_7dav_incidence_num,2020-03-21,2021-02-13,329,3287.2857143,,,nation,jhu-csse
21,us,confirmed_7dav_incidence_num,2020-03-22,2021-02-13,328,4512.2857143,,,nation,jhu-csse
22,us,confirmed_7dav_incidence_num,2020-03-23,2021-02-13,327,5912.5714286,,,nation,jhu-csse
23,us,confirmed_7dav_incidence_num,2020-03-24,2021-02-13,326,7173.2857143,,,nation,jhu-csse
24,us,confirmed_7dav_incidence_num,2020-03-25,2021-02-13,325,8519.1428571,,,nation,jhu-csse
25,us,confirmed_7dav_incidence_num,2020-03-26,2021-02-13,324,10428.0,,,nation,jhu-csse
26,us,confirmed_7dav_incidence_num,2020-03-27,2021-02-13,323,12187.8571429,,,nation,jhu-csse
