,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,us,confirmed_incidence_num,2021-01-01,2022-02-19,414,172374.0,,,nation,jhu-csse
1,us,confirmed_incidence_num,2021-01-02,2022-02-19,413,281466.0,,,nation,jhu-csse
2,us,confirmed_incidence_num,2021-01-03,2022-02-19,412,204005.0,,,nation,jhu-csse
3,us,confirmed_incidence_num,2021-01-04,2022-02-19,411,185409.0,,,nation,jhu-csse
4,us,confirmed_incidence_num,2021-01-05,2022-02-19,410,229794.0,,,nation,jhu-csse
5,us,confirmed_incidence_num,2021-01-06,2022-02-19,409,260136.0,,,nation,jhu-csse
6,us,confirmed_incidence_num,2021-01-07,2022-02-19,408,287738.0,,,nation,jhu-csse
7,us,confirmed_incidence_num,2021-01-08,2022-02-19,407,304180.0,,,nation,jhu-csse
8,us,confirmed_incidence_num,2021-01-09,2022-02-13,400,263372.0,,,nation,jhu-csse
9,us,confirmed_incidence_num,2021-01-10,2022-02-19,405,212926.0,,,nation,jhu-csse
10,us,confirmed_incidence_num,2021-01-11,2022-02-13,398,203511.0,,,nation,jhu-csse
11,us,confirmed_incidence_num,2021-01-12,2022-02-13,397,220408.0,,,nation,jhu-csse
12,us,confirmed_incidence_num,2021-01-13,2022-02-19,402,229751.0,,,nation,jhu-csse
13,us,confirmed_incidence_num,2021-01-14,2022-02-19,401,234347.0,,,nation,jhu-csse
14,us,confirmed_incidence_num,2021-01-15,2022-02-19,400,247862.0,,,nation,jhu-csse
15,us,confirmed_incidence_num,2021-01-16,2022-02-19,399,215445.0,,,nation,jhu-csse
16,us,confirmed_incidence_num,2021-01-17,2022-02-19,398,178528.0,,,nation,jhu-csse
17,us,confirmed_incidence_num,2021-01-18,2022-02-19,397,141509.0,,,nation,jhu-csse
18,us,confirmed_incidence_num,2021-01-19,2022-02-19,396,154354.0,,,nation,jhu-csse
19,us,confirmed_incidence_num,2021-01-20,2022-02-19,395,188514.0,,,nation,jhu-csse
20,us,confirmed_incidence_num,2021-01-21,2022-02-19,394,191249.0,,,nation,jhu-csse
21,us,confirmed_incidence_num,2021-01-22,2022-02-19,393,193189.0,,,nation,jhu-csse
22,us,confirmed_incidence_num,2021-01-23,2022-02-19,392,177794.0,,,nation,jhu-csse
23,us,confirmed_incidence_num,2021-01-24,2022-02-19,391,141429.0,,,nation,jhu-csse
24,us,confirmed_incidence_num,2021-01-25,2022-02-19,390,128999.0,,,nation,jhu-csse
25,us,confirmed_incidence_num,2021-01-26,2022-02-19,389,150082.0,,,nation,jhu-csse
26,us,confirmed_incidence_num,2021-01-27,2022-02-19,388,156100.0,,,nation,jhu-csse
27,us,confirmed_incidence_num,2021-01-28,2022-02-13,381,164530.0,,,nation,jhu-csse
28,us,confirmed_incidence_num,2021-01-29,2022-02-13,380,166896.0,,,nation,jhu-csse
